from,to,year,location,occupation
Ruff,Deutsche Versuchsanstalt fuer Luftfahrt,2,Berlin,Direktor Institut fuer Flugmedizin
Ruff,Deutsche Akademie fuer Luftfahrtforschung,2,Berlin,Mitglied
Ruff,NSDAP,2,Berlin,Mitglied
Ruff,KZ Dachau,2,Dachau,Hoehenversuche
Ruff,Aero Medical Center,3,Heidelberg,Forscher
Ruff,Institut fuer Flugmedizin der deutschen Versuchsanstalt,3,Bonn,Leiter
Ruff,Universitaet Heidelberg,3,Bonn,Professor
Strughold,Apollo,4,Huntsville,Direktor Aerospace Medical Division
Strughold,Aero Medical Center,3,Heidelberg,Leiter
Strughold,NASA,4,Huntsville,Direktor Aerospace Medical Division
Strughold,Luftwaffe,2,Berlin,Chef-Forscher
Strughold,Rockefeller Foundation,1,Chicago,Stipendium
Strughold,Flugmedizinisches Institut,2,Berlin,Direktor
Strughold,Reichsluftfahrtministerium,2,Berlin,Chef-Position
Strughold,Universitaet Heidelberg,3,Heidelberg,Direktor des Physiologischen Instituts
Strughold,US Air Force,3,Randolph Air Force Base,Mitarbeiter
Strughold,Institut fuer Weltraummedizin,3,US Airforce-Aviation-University,Professor
Strughold,Gemini,4,Huntsville,Direktor Aerospace Medical Division
Strughold,Rockefeller Foundation,1,Cleveland,Stipendium
Tiesenhausen,Ingenieurschule Hamburg,2,Hamburg,Student
Tiesenhausen,Luftwaffe ,2,99,99
Tiesenhausen,Heeresversuchsanstalt,2,Peenemuende,Raketen-Ingenieur
Tiesenhausen,V2,2,Peenemuende,Mitarbeiter
Tiesenhausen,Test Stand 12,2,Peenemuende,Entwicklung Mini-U-Boote
Tiesenhausen,Kriegsgefangenschaft,3,99,Kriegsgefangener
Tiesenhausen,Hatlapa,3,Uetersen,Ingenieur
Tiesenhausen,US Army,3,Huntsville,Entwicklung
Tiesenhausen,ABMA,3,Huntsville,99
Tiesenhausen,Redstone,3,Huntsville,Mitarbeiter
Tiesenhausen,NASA,4,Huntsville,Lunar Rover Konzept
Tiesenhausen,Apollo,4,Huntsville,Lunar Rover Entwicklung
Tiesenhausen,Saturn,4,Huntsville,Entwicklung Haltemechanismen
